Class,H3K27ac,H3K4me1,H3K4me3,H3K9me3,Brd4,Cdk8,Cdk9,Med12,p300,CBP,Pol2,Lsd1,Brg1,Smc1,Nipbl,Mi2b,CHD7,HDAC2,HDAC,DNaseI,Oct4,Sox2,Nanog,Smad3,Stat3,Tcf3,Esrrb,Klf4,Prdm14,Tcfcp2I1,Nr5a2,AT_content,GC_content,phastCons,phastConsP,repeat_fraction,length
TE,0.0618,0.1901,0,0,0.2167,0.2953,0.2681,0.2087,0.1835,0.0185,0.0651,0.298,0.0791,0.1518,0.0392,0.3216,0.1347,0.2057,0.1093,0.0918,1.2156,0.7838,1.2205,0.0733,0,0.1378,0,0,0.362,0.0982,0.0781,0.558923,0.441077,0.633687,0.698614,0,594
TE,0.1088,0.2007,0.3482,0,0.4414,0.6646,0.4442,0.6283,1.2745,1.294,0,0.5859,0.0179,0.2644,0.3089,0.5247,1.2361,0.3805,0.0539,0.8449,1.0136,1.0747,0.7893,0.5742,0,0.2221,0.2473,0,1.1367,0.0372,0,0.540613,0.459387,0.504559,0.477173,0.061252,751
TE,0.087,1.2039,0.1412,0,0.5814,0.4119,0.5408,1.2172,0.7658,0.8406,0,0.8577,0.7369,0.4603,0.5056,0.4971,0.9079,0.1213,0.3761,1.2514,1.5411,0.6766,0.8022,0.3791,0.0374,1.2204,0,0.1153,0.538,0.238,0.3108,0.505423,0.494577,0.386318,0.446607,0,461
TE,0.2984,0.5506,0.2635,0,0.3491,0.9592,0.6334,1.0249,0.5756,1.3664,0.122,1.4359,0.3502,0.1171,0.4698,0.6135,0.6709,0.6495,0.4127,0.5835,1.2879,2.8163,10.8042,1.1715,0.6649,0.8343,0.9478,0.5642,1.7227,0.2002,0.0501,0.599792,0.400208,0.113461,0.113463,0.580042,962
TE,0.0946,0.147,0.1585,0.6222,0.2779,0.2433,0.5321,1.0217,0.1772,1.9983,0,1.0565,0,0.3695,0.4112,0.6156,0.3035,0.4271,0.4326,0.2773,3.5398,2.4005,4.7524,1.6259,0.3449,1.0327,1.3858,0.3188,3.3619,0.0049,0,0.530021,0.469979,0.086775,0.086781,0.716356,483
TE,0.2792,0.5172,0.3919,0,0.4547,1.1778,0.8579,1.5154,0.6935,2.1667,0.1079,1.9074,0.1204,0.3013,0.4306,1.161,0.8565,1.0657,0.6586,0.9944,1.9806,2.4218,7.6995,2.0076,0.2787,3.038,0.2456,0.2799,9.6244,0.3806,0,0.539362,0.460638,0.223633,0.239481,0.151064,940
TE,2.0045,0.4535,2.294,0.1789,1.3433,1.6849,1.0762,1.0016,0.7362,1.2286,1.9142,1.1883,0.4415,0.0899,0.3601,1.3188,1.6138,0.4915,0.5722,1.5489,1.9017,1.6007,1.7959,0.6953,0.4624,1.2418,0,0.718,1.4045,0.247,0,0.537859,0.462141,0.279126,0.279129,0.686684,766
TE,0,1.0112,0,0,0,0,0,0,0.0521,0.4273,0,0,0,0,0,0.0442,0.2282,0,0,0.4728,0.4958,1.7515,5.6206,0,0,0.1761,0,0,0.4409,0,0,0.571759,0.428241,0.51621,0.513764,0.075231,864
TE,0,0.4834,0.0308,0,0.1485,0.3678,0.4464,0.231,1.2139,0.8721,0,0.9172,0.0242,0.0245,0.2134,0.6474,0.8547,0.1933,0.375,1.0714,2.0509,2.7725,6.4832,0.6231,0,1.161,1.0662,0,1.8345,0.9907,0,0.592881,0.407119,0.464807,0.497877,0.129032,899
TE,0.0287,0.7185,0.3815,0,0.6093,0.7859,0.4944,0.6238,0.6393,0.7871,0.1247,1.196,0.2702,0.1881,0.3492,0.9457,1.3002,0.703,0.3557,0.674,2.8265,6.6432,11.4279,1.4456,0.0489,2.07,0.3356,0.4038,1.051,0.1538,0,0.606452,0.393548,0.518673,0.531949,0,1085
TE,0,0,0,0,0.0038,0.2801,0.2839,0.4672,0.4952,0.5452,0,0.381,0,0.1071,0.0588,0.2109,0.1324,0.1269,0.0408,0.2693,1.5873,1.5187,0.5422,0.1521,0.2097,0.1817,0,0.0181,0.3657,0.0421,0,0.55611,0.44389,0.044733,0.044733,0.753117,401
TE,0,0.6981,0,0,0.272,0.3867,0.1117,0.2102,0.1357,0.4384,0,0.4021,0,0.0747,0.3178,0.5208,1.5465,0.3488,0.2079,1.1222,1.1824,1.2265,0.6882,0.1776,0,0.1729,0.1501,0.1928,0.7961,0.0152,0,0.594839,0.405161,0.049052,0.049054,0.473548,775
TE,0.0237,0.2332,0,0.0601,0.5039,0.5746,0.3241,0.747,0.7872,0.1913,0.0498,0.7049,0,0.4695,0.1585,0.6428,0.3961,0.2944,0.4087,0.6744,0.8958,0.6323,1.3802,0.7215,0.3674,0.6657,0,0.028,0.1788,0.0504,0,0.526882,0.473118,0.009331,0.009331,0.417563,558
TE,0,0.9471,0,0,0.2221,0.1964,0.0637,0.2945,0.9241,0.1786,0,0.4552,0,0.2619,0.2101,0.6788,1.0289,0.7487,0.7693,0.1279,1.5521,1.4884,1.041,0.1989,0,2.8501,0.2924,0,0.0204,0,0.1268,0.614286,0.385714,0.244481,0.235797,0,630
TE,1.0025,0.7766,0.3696,0,2.0525,1.8475,0.8401,1.7127,0.9028,1.2385,0.5929,1.6068,0.2987,0.3718,0.4556,1.0664,0.9207,0.8098,0.137,1.2132,1.4137,0.6088,4.036,0.8458,0.3069,1.3492,0.0543,0.1168,4.1014,0.0926,0,0.557029,0.442971,0,0,1,754
TE,0,0.5468,0.1045,0.1031,0.1587,0.4778,0.4373,0.1166,0.2313,0,0.1076,0.3735,0.2919,0.0821,0.224,0.4587,0.1603,0.383,0.0286,0.1746,0.7394,1.3743,1.0817,0.1877,0.1616,0.1735,0.4083,0.1027,0.0776,0.0811,0.0785,0.582296,0.417704,0.634085,0.641849,0,723
TE,0.0432,0.5086,0.048,0,0.6028,0.7867,0.6553,0.7108,0.4397,1.0565,0.2653,0.9003,0.0177,0.3596,0.2187,0.6386,2.2153,0.6834,0.2653,0.5758,2.5493,0.8479,3.7613,1.5531,0.5307,5.824,0,0,0.9407,0.1264,0,0.584352,0.415648,0.036815,0.036819,0,409
TE,0,0.4299,0.073,0,0.1148,0.3397,0.2719,0.1508,0.0225,0,0,0.3412,0,0.0874,0.1452,0.3781,0.44,0.1111,0.0849,0.1438,1.6022,1.5408,2.059,0.3988,0.0357,1.0069,0,0.2949,0,0.0495,0,0.574751,0.425249,0.773201,0.645815,0,602
TE,0.4606,1.0271,0.352,0,1.535,1.3697,0.9512,1.7318,2.3552,2.4368,0.7907,2.0053,1.3113,0.5002,0.509,1.1836,2.3543,1.5915,0.8778,2.3436,3.2505,2.4227,1.6309,1.324,0.366,1.9699,2.5052,0.1416,6.383,4.1974,0.1284,0.575805,0.424195,0.693995,0.726644,0.032207,1273
TE,0,0.4405,0,0.008,0.1678,0.6124,0.3863,0.2037,0,0.8077,0,1.1308,0.6279,0.4492,0.2577,0.307,0.8182,0.3938,0,0.6502,0.4886,0.8596,0.6734,0.3322,0.3863,0.7043,0.3435,1.4189,27.4141,0.4704,0,0.522342,0.477658,0.336201,0.303196,0.041602,649
TE,0.0708,1.0337,0.1205,0,0.338,0.6044,0.3642,0.4045,0.0248,0,0.0444,0.4468,0,0,0.2294,0.3656,0.5462,0.4328,0.1753,0.2576,1.3232,0.8154,0.7593,0.434,0,0.3665,0,0.5928,0.7496,0.1657,0.174,0.577882,0.422118,0.650712,0.607632,0.043614,642
TE,0.267,0.1108,1.4106,0,0.3055,0.7351,0.4453,1.4424,2.2111,1.3283,0.8624,1.5091,0.4068,1.3092,0.4497,0.5684,1.3084,0.599,0.0884,2.5493,3.4746,2.7889,1.8114,1.3922,0.1987,3.1826,0.1617,0.2569,2.7654,0.7726,0,0.466165,0.533835,0.40373,0.453859,0.142857,931
TE,0,0.2708,0,0.0136,0.3738,0.3602,0.2183,0.1854,0.3514,0.431,0.1637,0.4096,0.3091,0.3054,0.2723,0.4695,0.6813,0.3681,0.334,0.289,0.9867,1.0788,1.7788,0.5468,0.3041,0.8943,0.3372,0.124,0.3445,0.0571,0.2034,0.541159,0.458841,0.772293,0.074128,0.737805,656
TE,0.0647,0.6212,0,0.0817,0.2698,0.3651,0.2527,0.3037,0.0452,0.1856,0.043,0.6038,0,0.2028,0.1861,0.5825,0.4615,0.3637,0.5173,0.6547,0.8495,1.2567,4.427,0.8265,0.1402,1.962,0.558,0.4968,4.9218,0.3282,0.1393,0.596319,0.403681,0.213753,0.213753,0.333742,815
TE,0.4166,1.709,0,1.2508,0.2774,0.2576,0.1367,0.2719,0.0387,0,0,0.1927,0.5812,0.0242,0.0449,0.6861,0.4764,0.1666,0.1432,0.2722,0,0.218,0,0.4754,0,0,2.2846,0,0.1865,0.172,0.1137,0.660714,0.339286,0.037245,0.037245,0,56
TE,0.018,0.6352,0,0,0.3882,0.877,0.274,0.6146,0.3888,0.8192,0,0.6626,0.2493,0.1756,0.2575,0.4472,0.7142,0.5022,0.0823,0.871,0.9031,0.9086,0.8236,0.4686,0.3322,0.0972,2.8405,0.6643,1.2759,5.5755,0.9611,0.568393,0.431607,0.039545,0.039545,0.135458,753
TE,0.7947,0.4993,1.0565,0,1.1507,1.0379,0.6047,0.549,0.8885,2.2622,0.31,1.2162,0,0.2146,0.2729,0.5032,1.4691,0.6942,0.9381,0.9444,0.6876,0.856,0.8661,0.2191,0,0.0366,0,0.092,3.22,0,0.0732,0.546604,0.453397,0.693363,0.763211,0.060032,633
TE,0.7625,0.8138,0.6289,0,1.7444,0.6926,0.647,0.8708,1.3585,1.3955,0.5677,1.0554,0.8321,0.188,0.286,0.9992,1.2423,0.6893,0.9297,1.6891,1.3732,0.7288,0.6671,0.722,0.1784,2.0803,0.4245,0.3751,0.75,1.2524,0.0865,0.52901,0.47099,0.355964,0.36151,0,586
TE,2.8777,0.3948,4.1327,0,2.2165,1.2546,0.812,1.8358,3.5746,1.5171,2.0163,1.2935,1.0079,0.4968,0.3161,0.6314,2.0545,0.5812,0.3423,4.3186,0.7794,0.97,1.2003,1.0864,0.2788,1.2299,1.0584,0.5024,27.912,0.497,0.3063,0.495833,0.504167,0.391114,0.413634,0.075,960
TE,0.3325,1.7371,0.2491,0,1.3255,0.6411,0.7608,1.4064,0.5358,0.0926,0.3092,0.9522,1.2737,0.4913,0.5242,0.6124,1.5749,0.5253,0.1358,2.3702,0.7537,0.543,0.9065,0.7648,1.1236,1.642,0.504,0.8333,3.8653,0.2738,0,0.507589,0.492411,0.143723,0.143725,0,593
TE,0.2018,0.3494,0.5838,0.0819,1.2691,0.9041,0.5488,1.3189,2.5677,0.6916,1.3106,0.9823,0.6351,0.5758,0.3364,0.5792,1.8116,1.0673,1.2366,3.1974,0.6662,0.8208,0.7766,0.741,0,0.497,0.0675,0.6913,0.7193,0.6384,0.2037,0.508591,0.491409,0.523715,0.527985,0.072165,582
TE,0,0,0.2123,0,0.1364,0.2451,0.1055,0.2895,0.0064,0,0,0.1685,0,0.2654,0.1501,0.338,0.1367,0.1576,0.1148,0.1656,0.9783,1.5716,1.0843,0,0.361,0.0813,0.2996,0.1868,0.2112,0.0525,0,0.577657,0.422343,0.110597,0.110597,0.19891,367
TE,0.7887,0.6966,1.0802,0,0.1041,0.1246,0.1182,0.2053,0.0468,0.9536,0,0.9099,0,0.0766,0.2757,0.3657,1.2382,0.0402,0.0816,1.1766,2.1052,1.4406,0.9038,0,0,0,0,0,0.3758,0.0399,0.1244,0.535762,0.464238,0.035485,0.035485,0.788124,741
TE,1.0059,1.52,0.3215,1.5731,0.2587,0.0409,0.3748,0.6564,0,0,0.3992,0.3138,0,0.2233,0.2432,0.5066,0.4512,0.2603,0.2293,0.4811,0,0,0,0,0,0,0.1954,0.4995,0,0.4201,0,0.493827,0.506173,0.02848,0.028482,1,162
TE,0.2185,0.6866,0.0486,0,0.3645,0.5203,0.8606,1.0165,0.5482,1.702,0.0681,0.9902,0,0.3337,0.1607,0.403,0.2193,0.2824,0.0595,0.6163,2.2777,1.3616,2.0609,0.7163,0.111,0.3674,0,0.6093,15.3064,0.0764,0.2915,0.5,0.5,0,0,0.981172,478
TE,0.248,0.6396,1.3129,0.4609,0.42,0.7474,0.7604,0.973,0.2362,1.4926,0.1867,1.0865,0.303,0.2405,0.34,0.6407,0.4235,0.5764,0.0551,0.8236,1.3459,1.635,4.8485,1.1353,0.1601,0.6546,0,0.6779,4.4551,0.0677,0.1415,0.514423,0.485577,0.185331,0.185331,0.076923,416
TE,0.905,0.8958,0.1091,0,0.4616,0.9584,0.6473,0.8164,3.1375,1.7483,0.1408,1.9061,0,0.7421,0.4766,0.6442,0.2789,0.8828,0.2837,0.341,1.7833,1.0475,1.164,1.4685,0,0.0456,0.1563,0.2348,3.7044,0.1816,0,0.490455,0.509545,0.086472,0.078267,0.281938,681
TE,0.9398,0.1919,3.6414,0.9023,0.44,0.7365,0.4978,0.6642,1.5312,0.6353,0.0109,0.9185,0.2128,0.6265,0.9806,0.2162,0.4197,1.9825,0.5936,0.3851,1.3031,0.5283,2.1704,0.2643,0,0.3873,0.2572,0.2001,6.8921,0.2925,0,0.358333,0.641667,0.681387,0.703519,0,600
TE,0.3046,0.3946,0,0,1.5479,1.3677,1.3054,1.8207,1.4141,1.411,0.5645,2.4893,0.4038,0.5184,0.7659,1.4384,2.4281,0.6413,0.182,2.5944,4.3349,2.9632,3.2576,2.163,0.1211,0.8883,7.0768,0.181,9.1824,0.5301,0.9073,0.575776,0.424224,0.208061,0.208064,0.714547,1643
TE,0.108,0.3852,0.5331,0,0.5185,0.8939,0.7854,1.1278,0.8676,1.499,0.0823,1.6307,0.8021,0.317,0.3778,0.8618,2.0185,1.1852,0.546,2.1052,1.089,2.0237,4.416,1.1701,0.1366,2.5808,0.2246,0.3365,5.3052,0.6136,0.3203,0.579006,0.420994,0.27006,0.185199,0.227624,905
TE,0.2694,1.2905,0.0233,0,0.3978,1.0267,0.6574,0.5039,0.0908,0.3839,0.442,0.7172,0.4921,0.255,0.2892,1.003,1.5082,0.7862,0.6129,1.5242,1.4369,1.3884,3.7694,0.5942,0.6374,0.544,0.8065,0.1632,2.5822,0.2646,0.1083,0.580679,0.419321,0.071605,0.071607,0.261146,942
TE,0.0558,0.5285,0,0,0.2418,0.0173,0.1744,0.1271,0.0998,0.4716,0.0789,0.5238,0.1713,0.1949,0.0892,0.2466,0.2792,0.3655,0.1229,0.5688,1.6716,2.2204,14.8001,0.2138,0.2748,2.683,0,0.2324,1.9545,0,0.5988,0.576531,0.423469,0.159571,0.159862,0.137755,588
TE,0.9598,1.4511,0.0649,0,1.2876,1.7152,0.9164,1.7189,0.631,2.0053,0.0887,1.3544,0.6577,0.2424,0.4223,1.0359,1.2055,0.6835,0.6576,0.6782,2.3948,1.2834,1.8404,0.8289,1.2333,0.8858,5.9184,1.4298,1.0662,0.4728,1.6345,0.578077,0.421923,0.269709,0.269711,0.319545,967
TE,1.0938,1.7298,0,0,2.3656,1.2003,0.9256,1.5016,0.7784,0.9492,0.5009,0.9222,0.1055,0.1389,0.3201,0.9617,1.3484,0.7008,0.3277,0.9917,2.3543,2.1794,6.8463,1.3199,0,0.4907,0,0.1417,2.1013,0.0152,0,0.562642,0.437358,0.095274,0.095279,0.740319,878
TE,1.2565,1.0435,0,0,3.5579,2.3985,2.2163,3.9774,2.9686,4.6256,2.0142,3.1892,0.4079,0.327,0.779,1.7423,1.6415,1.257,1.1248,2.2092,9.2123,7.2452,5.5504,2.5688,0.1087,0.5212,0.1933,0.6207,3.0275,4.7282,0.3984,0.575179,0.424821,0.148865,0.148866,0.583532,838
TE,0.1107,1.3219,0,0,0.5687,0.7657,0.427,0.8208,0.2265,0.9895,0,0.5299,0.1992,0.1244,0.2072,0.7993,0.1977,0.5258,0,0.146,1.1192,0.7831,2.7682,1.0443,0,0.29,0.6958,0,0.3912,0,0,0.617612,0.382388,0.105807,0.105807,1,829
TE,0,0.454,0.2874,0,0.2812,0.9115,0.4517,0.6431,0.0584,2.0233,0.0714,0.8608,0.2856,0.1897,0.3235,0.485,0.4693,0.5974,0.5425,1.4006,3.4693,1.9572,5.357,0.8371,0.1325,1.5359,1.6447,0.6144,3.574,0.0822,0.5177,0.562897,0.437103,0.129013,0.129014,0.604828,787
TE,0.9585,1.5852,0.0785,0,0.3714,0.5987,0.38,1.0608,1.7972,1.0498,1.6152,1.5653,0.6583,0.0453,0.1698,1.0276,0.6703,0.6669,0.3462,0.3711,2.5503,2.5041,4.8642,1.3252,0.0413,2.065,0.5993,0.0493,0.4459,0.1229,0,0.532407,0.467593,0.325669,0.266762,0.361111,864
TE,1.8406,0.5788,3.6949,0.1643,0.7577,0.7819,0.598,0.8822,0.5097,0.5309,0.273,0.961,0.1737,0.2919,0.3736,0.2186,0.9225,0.4771,0,2.0967,2.8231,2.2317,9.1676,0,0.0577,2.6064,0,0.1218,2.2183,0,0,0.480076,0.519924,0.417621,0.415407,0.147059,1054
TE,0,0.2206,0,0,0.0678,0.5112,0.6868,0.4391,0.2579,0.6077,0,1.0807,0.2932,0.3019,0.1526,0.5449,0.1826,0.3828,0.2376,0.4549,4.0351,1.3385,2.1111,0.4056,0.3521,0.3422,0.7708,0.1716,0.2297,0,0.1059,0.542342,0.457658,0.841797,0.013273,0.104505,555
TE,0.0849,0.777,0.25,0,0.4072,0.624,0.3523,0.4775,0.7623,0.4638,0.2307,0.8968,0.0028,0.184,0.1983,0.7426,0.9829,0.4424,0.4143,1.708,2.5484,2.5099,6.8933,0.7817,0.1223,0.9347,0.959,0,19.2931,0.3388,0.3039,0.568456,0.431544,0.052709,0.052709,0.810515,913
TE,0,0.8264,0.2675,0,0.4305,0.3202,0.0901,0.4132,0.6339,0.8033,0.0561,0.3178,0,0.0133,0.1417,0.5132,0.5516,0.1377,0.3541,0.1985,0.4229,0.7055,0.44,0.1135,0,0.0306,0.1269,0.0799,0.683,0,0,0.609034,0.390966,0.051796,0.098172,0,642
TE,0,0.4648,0,0,0.4748,0.9206,0.2603,0.6988,0.4137,1.1065,0.0788,0.7138,0.4128,0.1457,0.1783,0.6626,0.2866,0.3964,0.2242,0.2487,2.9224,2.9897,3.0875,0.5587,0.0987,0.7243,0.2228,0.0456,0.3799,0.133,0.157,0.619976,0.380024,0.526846,0.486352,0.015834,821
TE,0.1019,0.2493,0,0,0.1567,0.2148,0,0.1232,0.2653,0.273,0,0.1408,0,0.1449,0.06,0.3023,1.1351,0.3855,0,0.5674,0.6443,1.0259,0.9896,0.242,0,0.1263,0,0,0.86,0.2133,0.8537,0.568603,0.431397,0.02347,0.02347,0.964153,809
TE,0.1118,1.4202,0,0,0.1774,0.829,0.5619,1.1494,0.5584,1.6565,0,2.0407,0.1607,0.4151,0.2837,1.1495,0.408,0.4566,0.0567,1.2407,0.5945,1.4271,0.8785,1.1291,0.0493,0.1739,0.9072,2.0813,10.805,45.3445,0,0.508539,0.491461,0.042624,0.042576,0.40797,527
TE,0.1861,0.9962,0,0,0.2057,0.6928,0.4333,0.3249,0.9635,0.3114,0,0.846,0.4431,0.4249,0.2487,0.49,0.437,0.2536,0.1486,0.7544,2.8451,2.9962,6.2489,1.3177,0,1.1588,0.6748,0.8301,5.2647,0.7008,0.4319,0.484663,0.515337,0.29399,0.29399,0.317485,652
TE,0.7404,0.6437,0.6274,0.4275,0.7282,0.5417,0.5974,1.2397,2.9377,1.3408,1.0905,2.0977,0.6248,0.8262,0.6855,1.0669,1.2666,0.9677,0.6148,4.0497,2.4324,1.679,6.7841,0.5135,0.1009,4.7818,1.5527,2.5499,1.3347,0.3347,0.251,0.5115,0.4885,0.094794,0.097688,0.640294,1087
TE,0.0131,0.5605,0.1659,0,1.2615,0.5573,0.538,0.9108,0.8182,0.1702,0.5306,1.0462,0.68,0.0686,0.4219,0.9007,1.588,0.5006,1.475,1.746,2.6655,1.2401,1.3371,0.8246,0.397,0.9202,0.2323,0.2109,0.2929,0.3553,0.1461,0.609603,0.390397,0.032261,0.032261,0,479
TE,0.2094,0.991,0,0.1035,0.0911,0.4029,0.2689,0.5514,0.6339,0.253,0,0.7248,0.033,0.3422,0.1775,0.5109,0.5293,0.6027,0.3902,1.1408,0.9137,1.079,1.3881,0.6528,0.3649,0.617,1.801,0,3.0574,0.1472,1.1139,0.520999,0.479001,0.484006,0.482594,0,881
TE,0.0198,0.1657,0,0.9407,0.1405,0.2396,0.1561,0.1354,0.3652,0,0,0.4473,0.2006,0,0,0.2974,0.0634,0.299,0.0809,0.465,0.6079,0.5656,3.784,0.1396,0.1077,0.7074,0,0.0064,2.7381,0.1698,0,0.556738,0.443262,0.440894,0.470178,0,564
TE,0,0.2039,0,0,0.0295,0.1761,0,0,0.0236,0.139,0,0,0,0,0.0722,0,0.3216,0.2152,0,0.9258,0.8432,1.0902,1.9135,0,0.0764,0.5777,0,0.2938,0.996,0.0748,0.2707,0.523256,0.476744,0.058424,0.058424,0,516
TE,0.1567,0.5016,0,0.086,0.1237,0.4964,0.2796,0.166,0.129,0.291,0.1673,0.2334,0.1679,0,0.029,0.33,0.4022,0.1118,0.2859,0.0102,1.1513,1.0422,1.7189,0.1933,0.2049,0.1237,0.5311,0.3069,0.4548,0.036,0.4841,0.617308,0.382692,0.082341,0.082341,0.182692,520
TE,0,0.3062,0,0,0.2133,0.1147,0.318,0.1576,0.3404,0.3683,0,0.4924,0,0.1898,0.0381,0.3723,1.4056,0.3055,0.3565,1.2048,0.7783,0.6962,1.0551,0.191,0,0.943,0.3219,0.0318,0.7313,0.4144,0.0713,0.50702,0.49298,0.151496,0.151496,0,641
TE,0,0.4071,0,0,0.3569,0.3834,0.1603,1.1537,0.2524,2.7694,0,0.0756,57.435,0.4338,0.0955,5.8965,0.1342,1.0342,0.893,0.1776,16.171,35.2006,28.3192,0.1104,0,0.2523,0.3034,0,0,0.0162,0.2272,0.595238,0.404762,0.27134,0.271352,0.5,336
TE,0.9617,0.2982,3.2188,0,0.8574,0.7014,0.8288,1.391,1.9388,1.4873,0.6403,1.0504,0.3163,0.2339,0.4018,1.0658,1.7936,0.5382,0.8246,1.6643,0.4102,1.0774,0.7228,0.8726,0.7517,0.5957,1.9519,0.3342,2.3631,0.2462,0.4309,0.531375,0.468625,0.077056,0.073006,0,749
TE,0.0293,0.5354,0,0,0.1214,0.1809,0.2478,0.2837,0.0965,0.5308,0.0014,0.4477,0.0458,0.0096,0.1721,0.4207,0.2421,0.4492,0.0446,0.3696,1.0826,0.7519,1.8963,0.166,0.1131,0.7872,0,0.0209,2.3171,0,0.32,0.527646,0.472354,0.152821,0.152824,1,633
TE,0.1894,0.6828,0,0,0.4,0.5605,0.5404,0.5218,0.3261,2.0792,0.1917,0.8596,0.5797,0.4212,0.3184,0.5807,0.293,0.5165,1.1102,0.2616,0.4828,0.7938,0.8301,0.5597,0.2492,0.0438,8.9499,2.2156,9.9834,0.2103,0.2465,0.565147,0.434853,0.038471,0.037914,0.340391,614
TE,0.1607,0.4335,0.0267,0,0.1188,0.2501,0.3362,0.2792,0.1625,0,0.1489,0.3263,0,0.0191,0.1562,0.4141,0.1945,0.216,0.2022,0.4398,1.0187,1.4276,1.961,0.2852,0,0.4874,0,0.2101,2.2377,0.0887,0,0.578035,0.421965,0.120158,0.118089,0.377649,519
TE,0.296,0.6181,0,0.0739,0.37,0.7734,0.5988,0.8377,0.8175,1.4464,0.8038,1.4585,0.6232,0.2977,0.3578,0.7238,0.6083,0.6916,0.4871,1.8075,3.6971,4.5546,6.0489,1.3395,0.2073,0.6655,0.6049,1.1865,2.2245,0.4097,0.0051,0.580819,0.419181,0.101414,0.101419,0.697198,928
TE,0.6103,0.9734,0.0635,0,0.0957,0.4256,0.2949,0.3839,0.1887,0.392,0.2189,0.7277,0.8886,0.2162,0.1745,0.3527,0.2786,0.3317,0.5481,0.1415,0.6292,0.6963,0.9766,0.2117,0.1922,0.7412,0.8621,0.2062,1.0424,1.0143,0.0828,0.501305,0.498695,0.1037,0.1037,0,766
TE,0,0.4288,0.0102,0,0.1776,0.5708,0.3181,0.5963,0.4844,0.5658,0,0.4878,0.8449,0.1798,0.3307,0.4115,0.7095,0.1858,0.3134,1.561,1.3928,1.1398,1.7065,0.7053,0.2104,0.3701,2.0068,0.5058,10.8569,0.3214,0.2014,0.54372,0.45628,0.015419,0.015419,0,629
TE,1.7565,0.7185,1.5423,0,0.2706,0.7189,0.5579,1.1163,1.888,1.2208,0.5047,1.3822,1.8313,0.2735,0.3144,0.6064,0.9006,1.3268,0.2341,1.0027,4.8346,3.4807,1.9974,1.0951,0.3107,0,5.8315,0.2603,1.1512,0.8924,0.8012,0.481992,0.518008,0.03492,0.034801,0.163136,944
TE,0.0829,0.8385,0.1367,0,0.0099,0.0129,0.1445,0.0588,0,0,0,0.3697,0.1148,0,0.0208,0.1938,0.1382,0.321,0,0.0903,0.3888,0.5607,2.1006,0.2031,0,0.1943,0.3349,0,1.2818,0.0441,0.1435,0.545455,0.454545,0.047721,0.047721,0.054545,715
TE,0.8456,0.499,0.5184,0,1.002,0,0,2.1206,9.7983,1.3253,0,2.024,2.427,0.6865,0.14,0.1401,1.2605,0.6625,0.7255,2.3783,2.0796,1.1859,0.5929,0.2143,0,0.2088,0.6818,0,7.6744,0,0,0.452785,0.547216,0.128669,0.128669,0,826
TE,0.9961,0.4914,0.1429,0,1.5124,0.1384,0.0432,1.7147,3.7598,5.0234,0,0.9827,0,0.4593,0.1245,0.4932,2.3293,0.4498,0,2.9275,1.0159,1.3599,1.1101,1.7692,0,0.08,3.0565,0,1.784,0.3815,1.0479,0.51087,0.48913,0.303951,0.281262,0,828
TE,0.5954,0.406,0.6552,0.1287,2.0173,1.2275,1.1204,2.0344,4.9437,3.2138,0.4593,1.8921,1.9103,0.3784,0.3827,1.377,2.2762,1.5657,0.837,0.8456,2.1854,0.6277,2.518,1.6574,0.1971,1.168,0.6491,1.5769,3.5019,0.7356,1.6292,0.5625,0.4375,0.030045,0.030046,0.273649,592
TE,0.2036,0.8357,0.0212,0.0813,0.3722,0.703,0.4431,0.4818,0.2443,2.4115,0.0275,0.7411,0.1833,0.1672,0.262,0.5432,0.4839,0.4323,0.4778,0.3929,0.7218,1.4803,2.5462,0.5306,0.4864,0.2656,0.2226,0.2149,4.6456,0.2474,0,0.488152,0.511848,0.126076,0.126076,0,844
TE,0,0.0686,0,0,0.1217,0.1299,0,0.1171,0,0,0,0.05,0.9618,0,0,0.0021,0.2254,0.0444,0.2013,0.1512,0.9723,1.1632,1.3781,0.1077,0.0537,0.143,0,0,0.1509,0,0,0.53222,0.46778,0.118853,0.118856,0.393795,419
TE,0.4986,1.1481,0.3512,0.3874,0.6046,0.7918,0.8827,0.9317,0.4229,1.0744,0.7507,1.5402,1.0264,0.5825,0.3143,0.9883,0.7679,0.8425,0.4578,0.8031,1.856,0.6553,1.8879,0.4929,0,0.737,0.871,0.8646,18.9514,0.0218,0.2812,0.559859,0.440141,0.07062,0.070625,0.309859,568
TE,0,0,0,0,0,0,0.0714,0.1341,0.059,0,0,0,0,0.0409,0,0,0.3523,0,0.0232,0.145,0.5708,0.6661,0.6162,0,0,0.2123,0,0,0.4982,0.199,0.1557,0.590654,0.409346,0.204789,0.203001,0.958879,535
TE,0.1701,0.3657,0,0.1723,0.2129,0.3494,0.2573,0.1524,0.5096,0.2189,0.0924,0.4642,0.2883,0.0825,0.1775,0.4109,0.7428,0.3062,0.4743,0.7635,0.6021,0.8105,0.7112,0.0768,0.088,0.0996,0.3196,0.3162,0.1884,0.2918,0.2972,0.58134,0.41866,0.053631,0.062293,0.174641,836
