Class,H3K27ac,H3K4me1,H3K4me3,H3K9me3,Brd4,Cdk8,Cdk9,Med12,p300,CBP,Pol2,Lsd1,Brg1,Smc1,Nipbl,Mi2b,CHD7,HDAC2,HDAC,DNaseI,Oct4,Sox2,Nanog,Smad3,Stat3,Tcf3,Esrrb,Klf4,Prdm14,Tcfcp2I1,Nr5a2,AT_content,GC_content,phastCons,phastConsP,repeat_fraction,length
SE,3.2233,1.0211,0.4511,0,5.3726,2.0735,1.4623,3.7799,4.6339,1.9692,9.4887,1.1681,0.7308,0.5085,0.5468,0.536,1.3719,0.4681,0.3705,2.6873,0.5051,0.7421,0.2114,2.1394,0.4637,0.8007,0.9953,0.3484,0.2669,1.831,0,0.52619,0.47381,0.15432,0.154325,0.714286,840
SE,3.0017,1.5932,0.4492,0,5.3883,3.8551,2.1101,2.8478,3.0963,2.4763,4.6993,2.4305,0.585,0.3804,0.7349,1.6573,1.392,1.2219,0.6554,1.5832,2.1919,2.6158,3.7049,2.9203,1.3945,1.2935,1.6793,0.3381,1.1443,0.6723,0.8225,0.545285,0.454715,0.101831,0.101834,0.426704,1071
SE,4.7939,1.1311,0.2425,0.4207,1.7053,1.3161,1.3384,2.599,4.9166,1.325,2.9187,1.6198,1.1954,0.3434,0.5922,1.299,1.6314,1.1347,0.7601,1.7349,1.2054,1.6118,2.6249,0.8308,0.0696,1.0515,4.2964,1.9332,4.0131,0.8897,1.1757,0.513441,0.486559,0.077465,0.077467,0.400538,744
SE,0.0086,0.8521,0,0,0.3868,0.3735,0.0516,0.3853,0.5908,0.7579,0,0.3474,0.8856,0.1222,0.118,0.3896,0.4866,0.7293,0.3879,1.676,0.6535,2.4707,4.7759,0.8873,0,0,2.0019,0.2822,0.6614,0.4196,0.4932,0.583902,0.416098,0.284773,0.284773,0.826739,733
SE,3.4523,0.6716,0.9415,0.0382,3.5594,1.3973,2.2448,5.2816,7.3674,2.7466,6.5784,2.4012,0.9599,0.9777,0.737,1.0501,1.5649,0.8677,0.6132,2.0522,0.7417,1.1654,1.2166,1.527,0.2465,0.7877,0.7986,0.3226,4.3508,0.7849,0,0.471053,0.528947,0.179076,0.189037,0.094737,1140
SE,0,0.2017,0,0,0.1326,0.0983,0.3214,0.0411,0,0.4786,0.1646,0.341,0,0.1286,0,0.4016,0.1577,0.3377,0.0293,0.6748,0.556,0.7773,2.4239,0.145,0.054,0,0.8548,0.5131,4.7853,0.121,0.361,0.537651,0.462349,0.065853,0.065853,0.811747,664
SE,1.6928,1.9349,0.1912,0,6.7001,3.4359,3.0677,4.2826,6.08,6.026,2.6052,3.7789,0.7,0.7966,1.2556,1.7785,2.8604,1.03,1.0173,3.944,1.4994,1.4329,2.6991,3.5445,1.4352,0.2131,11.4843,0.9188,5.4707,0.4637,1.6064,0.520451,0.479549,0.122597,0.1226,0.262341,709
SE,1.6451,1.131,0,0.2119,2.216,0.3541,0.6038,0.7401,1.0656,0,0.4811,0.6565,0.7609,0.2312,0.1898,1.1163,0.6388,0.412,0.2369,2.2744,0.4668,1.0441,1.1374,0.1135,0.1001,0.5927,0.3167,0.0404,3.452,0,1.3437,0.49938,0.50062,0.149107,0.149107,0.520446,807
SE,0.9477,0.8792,0.0329,0,1.6923,1.401,1.6477,0.8522,2.6154,2.7704,0.8989,2.0883,1.0055,0.3761,0.5564,1.2565,2.2404,0.9807,0.6413,1.8395,1.6058,1.7633,3.3413,1.8,0.0713,2.0239,4.1877,0.4029,32.0231,0.3775,0.568,0.539462,0.460538,0.223519,0.21927,0.187337,1153
SE,0.2458,1.2091,0,0,1.0569,0.6279,0.6135,0.7295,1.3798,1.4163,0.0048,1.0443,0.4199,0,0.009,0.8885,1.9403,0.5392,0.34,0.9767,0.5778,0.854,1.0153,0.8212,0,0.1055,0.2229,0,0.9677,0,0.2281,0.518678,0.481322,0.03564,0.03564,0.412356,696
SE,0.8649,1.3132,0,0,0.9393,0.7257,0.2206,0.4972,1.6468,0.5861,0.4715,0.5403,0,0,0,0.6792,1.0504,0.4649,0.819,0.8326,1.4715,0.6277,1.0635,0.3483,0,0,0.0535,0,1.0175,0,0.7424,0.554705,0.445295,0.134318,0.134322,0.249453,914
SE,1.4654,0.3557,0.4139,0.2407,6.0442,3.2464,1.289,5.0259,5.4413,2.695,0.4135,1.6481,1.6188,1.0076,0.8503,1.205,2.2206,1.1427,0.7915,2.7975,0.6904,1.7247,3.057,2.5607,0.858,0.8149,0.9242,0.7843,4.4127,0.8592,0.4636,0.494266,0.505734,0.401655,0.409016,0.038991,872
SE,0.7508,0.9143,0.2488,0,3.1952,1.2535,1.282,1.8052,1.7615,0.5261,0.3782,1.3991,0.3058,0.2396,0.5528,1.3574,2.1526,1.1466,0.9171,1.3701,2.9883,1.7653,0.924,0.8939,0.2027,0.9153,0.9303,0.8658,1.6934,1.2886,0.0874,0.535445,0.464555,0.0394,0.033907,0,663
SE,1.4756,1.2167,0.1375,0.222,1.4867,0.9967,0.9013,0.9862,2.2446,2.8631,0.6707,1.6981,1.0721,0.5903,0.5448,1.0511,1.1298,0.5201,0.2387,2.2135,0.5024,0.7105,1.4808,0.6093,0.445,0.331,10.1031,0.3001,3.5293,0.4049,0.6662,0.527051,0.472949,0.137864,0.141691,0.448517,1146
SE,2.5924,1.861,0,0,2.0959,1.1298,1.0105,1.9238,6.4546,1.0681,0.8307,1.7473,1.2209,0.4222,0.5298,1.1466,0.8624,1.0703,0.532,1.2276,0.7526,0.5106,0.8625,1.1769,0.1354,0.2567,0.6113,0.2239,6.6559,4.1993,0.1746,0.53076,0.46924,0.169936,0.16994,0.509047,829
SE,2.2147,1.0673,0.1759,0.133,3.5992,3.1866,2.3981,5.3626,9.8085,6.0893,3.5609,2.9406,1.3405,0.823,0.734,0.7826,1.1365,1.0935,0.6124,1.8886,2.0039,2.3971,1.4701,3.9462,0.5625,1.2725,6.5493,1.0381,14.3066,0.8527,0.1213,0.510309,0.489691,0.084948,0.084948,0.158076,1164
SE,2.8749,0.5322,0.4166,0.0119,2.8401,3.0822,1.9043,3.8104,4.4104,5.8719,1.5466,3.3953,1.1708,0.9093,1.1437,1.5821,1.6817,1.446,0.9916,4.8703,2.0718,1.7598,3.8407,3.3547,1.4456,2.0404,11.3079,2.3548,6.0986,4.6244,1.662,0.492369,0.507631,0.156037,0.147282,0.427925,1769
SE,0.9238,0.9632,0,0,2.5477,3.4438,1.666,5.0459,7.5325,3.1852,0,4.0251,0.9887,1.5217,1.4148,0.6408,1.5378,1.5894,0.6162,3.7108,1.2699,1.3523,4.1442,2.7057,0.2458,2.9609,14.5466,0.8321,47.0881,1.263,1.1896,0.483444,0.516556,0.208647,0.202882,0.317881,1057
SE,0.7207,0.3607,0,0.0204,5.2286,6.2858,2.2527,4.7994,5.2502,7.086,0,3.1914,0.6979,0.7314,1.1007,1.4438,1.8902,0.9241,0.8855,4.1947,1.6175,1.4041,3.8941,2.9367,1.0688,0.1926,5.4554,1.0427,22.4227,5.3937,0.7046,0.520085,0.479915,0.116337,0.116339,0.488372,946
SE,0.4504,1.2564,0,0,0.7226,0.7012,1.1631,1.3768,1.2121,1.6617,0.1597,1.5509,0.1036,0.5523,0.4262,1.1777,0.4612,0.4777,0.3123,0.0508,1.8688,1.0267,1.1843,1.065,0.202,0.9133,0,0.0942,0.0021,0.2674,0,0.549777,0.450223,0.088524,0.088525,0.334324,673
SE,1.2647,0.8359,0.1221,0,1.7606,1.072,1.6142,1.3135,0.6612,1.5977,0.4564,1.5756,0.6317,0.4672,0.4338,1.0389,1.2816,1.5497,0.3939,1.5454,1.8445,1.111,1.5196,1.0932,0.1502,2.1238,6.1583,0.3716,6.3173,0.2669,1.3872,0.507567,0.492433,0.076656,0.076656,0,859
SE,4.6759,0.5389,1.0537,0,1.4868,0.7371,1.5644,2.4015,4.1021,1.9293,0.3421,2.5991,1.0583,1.2899,0.7687,1.22,1.1888,0.9295,0.6656,2.4569,1.0607,1.646,1.4302,1.6199,0,1.9155,1.1402,1.98,37.0716,1.4018,0.5738,0.467133,0.532867,0.184534,0.18733,0.076923,1430
SE,0.2933,0.8799,0,0.5047,6.2328,1.57,1.0637,4.47,8.0203,2.0398,0.4173,1.2538,2.0163,0.913,0.5639,1.5425,2.4404,1.7179,0.8113,1.4052,0.9131,0.6205,1.0845,0.7381,0,0.7136,0.0588,0.1737,1.6055,0.3656,0,0.546763,0.453237,0.206399,0.206402,0.902878,556
SE,2.1996,1.2911,0.3371,0,3.9583,1.5129,0.8774,3.0538,3.4792,1.0611,2.114,1.0746,1.3239,0.7235,0.4511,1.0855,1.2538,0.6674,0.3571,2.3195,0.6102,0.5033,1.7905,0.7859,0.0774,3.883,2.1261,1.8981,3.8213,0.2892,0.7494,0.5275,0.4725,0.016613,0.016613,0.27625,800
SE,2.6361,0,2.0845,0,8.0323,2.6044,2.0206,8.3402,12.5376,4.5314,5.5957,4.2119,3.1585,1.603,1.0823,1.7311,2.627,2.48,1.5087,3.3105,0.8492,0.6279,2.247,1.5458,0.303,1.7805,2.311,2.0972,6.6488,5.1867,0.4306,0.50358,0.49642,0.032788,0.032788,0,838
SE,0,1.5689,0.1905,0,0.382,0.3699,0.5138,0.1298,0,0.3555,0,0.7484,0.2754,0.099,0.1532,0.5329,1.1142,0.2281,0.2643,0.4038,0.9166,0.5235,2.2973,0.1995,0.0993,0.4496,0,0.1493,0.6876,0.3028,0.0447,0.605178,0.394822,0.17517,0.139452,0,927
